winner,loser,winnerscore,loserscore,date,bo3
UNO MILLE,FURIA Academy,2,1,1649554200.0,True
Sharks,UNO MILLE,2,1,1647478800.0,True
FURIA Academy,UNO MILLE,16,13,1647399600.0,False
Stars Horizon,Sharks,16,14,1651890000.0,False
Stars Horizon,10org,16,8,1651813200.0,False
Stars Horizon,ex-Black Dragons,2,1,1651212900.0,True
Stars Horizon,Cruzeiro,16,13,1648264800.0,False
ex-Black Dragons,Stars Horizon,16,8,1650589200.0,False
Stars Horizon,Meta BR,16,4,1650517200.0,False
Stars Horizon,Blackhat,16,11,1650511800.0,False
UNO MILLE,Stars Horizon,2,0,1647141000.0,True
B4,Stars Horizon,16,8,1646442000.0,False
Los Grandes,Stars Horizon,16,8,1646211600.0,False
Stars Horizon,Case,16,11,1646207400.0,False
Stars Horizon,UNO MILLE,2,1,1645938000.0,True
Meta BR,FURIA Academy,2,0,1651281600.0,True
Meta BR,Los Grandes,16,14,1648276200.0,False
Meta BR,FreeStyle,16,10,1648267200.0,False
Meta BR,The Union,16,13,1650512700.0,False
SWS,Meta BR,16,13,1650345300.0,False
MIBR Academy,Meta BR,2,1,1649203200.0,True
Meta BR,Redragon,2,1,1648944000.0,True
Meta BR,Black Dragons,16,13,1647411000.0,False
SWS,Cruzeiro,2,1,1652400000.0,True
Redragon,Cruzeiro,2,0,1652313600.0,True
Cruzeiro,First Memory,2,1,1652227200.0,True
Cruzeiro,B4,2,0,1650424200.0,True
Cruzeiro,Blackhat,16,2,1650416400.0,False
Cruzeiro,Redragon,16,14,1650347700.0,False
GODSENT Academy,Cruzeiro,2,1,1648425600.0,True
B4,Cruzeiro,2,0,1648354200.0,True
Cruzeiro,UNO MILLE,2,0,1647216000.0,True
Cruzeiro,SWS,2,0,1647141000.0,True
Case,Cruzeiro,16,14,1646442000.0,False
Jaguares,Cruzeiro,16,4,1631499000.0,False
B4,First Memory,2,0,1652410800.0,True
Sharks,B4,16,14,1651885200.0,False
B4,SWS,25,23,1650416400.0,False
B4,ex-Black Dragons,16,5,1650346200.0,False
B4,SWS,2,0,1649556000.0,True
9z,B4,2,1,1646446500.0,True
ELES,B4,19,15,1646297700.0,False
B4,LA COCONETA,16,8,1646290200.0,False
MIBR Academy,SWS,2,0,1649039100.0,True
MIBR Academy,Black Dragons,2,0,1648957800.0,True
FURIA Academy,MIBR Academy,2,0,1648444800.0,True
MIBR Academy,Redragon,2,1,1648344000.0,True
FURIA Academy,MIBR Academy,16,7,1648263600.0,False
MIBR Academy,Black Dragons,2,0,1646107200.0,True
MIBR Academy,Black Dragons,2,1,1645930800.0,True
MIBR Academy,FURIA Academy,2,0,1645770600.0,True
MIBR Academy,Stone,2,0,1645682400.0,True
Isurus,MIBR Academy,2,1,1638517500.0,True
Liberty,MIBR Academy,2,0,1637899200.0,True
Jaguares,MIBR Academy,16,12,1630814700.0,False
MIBR Academy,ASUS Ladies,18,12,1278084600.0,False
Millenium fe,MIBR Academy,25,5,1278081000.0,False
Los Grandes,FreeStyle,2,1,1648430400.0,True
Los Grandes,SWS,16,7,1648267200.0,False
Isurus,Los Grandes,16,7,1647048600.0,False
Sharks,Los Grandes,16,14,1646965800.0,False
Los Grandes,ex-Imperial,16,10,1646201400.0,False
Isurus,Los Grandes,2,0,1639187100.0,True
Los Grandes,Leviatan,2,1,1639116000.0,True
9z,Los Grandes,2,0,1639099800.0,True
Los Grandes,LSC,2,1,1638338400.0,True
Los Grandes,Liberty,16,11,1638333600.0,False
Los Grandes,Santos,16,13,1638329100.0,False
SWS,ex-Black Dragons,2,0,1651450800.0,True
ex-Black Dragons,Los Grandes Academy,2,1,1651368300.0,True
9z,ex-Black Dragons,2,0,1650594600.0,True
ex-Black Dragons,AJF,16,8,1650519000.0,False
The Union,AJF,16,5,1648274400.0,False
The Union,ELES,16,4,1648257600.0,False
Meta BR,The Union,16,11,1630642500.0,False
AJF,Sharks,16,13,1650514500.0,False
Black Dragons,AJF,2,1,1648430400.0,True
AJF,Black Dragons,16,12,1648257600.0,False
Meta BR,FURIA Academy,2,1,1644206400.0,True
FURIA Academy,Stars Horizon,2,0,1644030000.0,True
FURIA Academy,Black Dragons,2,0,1643868000.0,True
VP.Prodigy,FURIA Academy,2,1,1642206600.0,True
Spirit Academy,FURIA Academy,16,8,1641855600.0,False
Spirit Academy,FURIA Academy,16,9,1641852000.0,False
Eternal Fire Academy,FURIA Academy,16,12,1641683400.0,False
9z,SWS,16,7,1650589200.0,False
SWS,FreeStyle,16,8,1650515100.0,False
Redragon,SWS,2,1,1649127600.0,True
FreeStyle,SWS,2,1,1648356600.0,True
UNO MILLE,Sharks,16,11,1647313200.0,False
Sharks,Imperial,2,1,1647223800.0,True
Sharks,Leviatan,2,0,1647146700.0,True
Sharks,Imperial,16,11,1647053700.0,False
Black Dragons,Sharks,22,19,1646615100.0,False
Sharks,MIBR,3,0,1640146800.0,False
Sharks,SWS,2,1,1639888200.0,True
GODSENT Academy,Patins da Ferrari,2,1,1645329600.0,True
Norse,GODSENT Academy,2,0,1477581000.0,True
Gambit,GODSENT Academy,16,6,1477571700.0,False
eSuba,GODSENT Academy,2,0,1476918600.0,True
Epsilon Hype,GODSENT Academy,2,1,1476748800.0,True
Tricked,GODSENT Academy,2,0,1475795400.0,True
fnatic Academy,GODSENT Academy,2,0,1475622000.0,True
GODSENT Academy,eSuba,2,0,1473981000.0,True
Refuse,GODSENT Academy,2,1,1473810000.0,True
iNation,GODSENT Academy,16,13,1476564000.0,False
eSuba,GODSENT Academy,16,12,1474492200.0,False
XPC,GODSENT Academy,16,5,1473285900.0,False
FURIA fe,Liberty fe,2,0,1651370400.0,True
FURIA fe,Liberty fe,2,0,1650768300.0,True
FURIA fe,Liberty fe,2,0,1646010000.0,True
FURIA fe,Black Dragons fe,2,1,1644800400.0,True
Liberty,FURIA fe,16,5,1628659200.0,False
Paquet�,FURIA fe,16,0,1628577900.0,False
9z,Redragon,16,9,1650511500.0,False
Eqole,Redragon,22,20,1646614800.0,False
Isurus,Redragon,16,14,1646442000.0,False
Meta BR,Redragon,2,0,1645942500.0,True
Black Dragons,Redragon,2,1,1645671600.0,True
Meta BR,Redragon,2,1,1643943600.0,True
Stars Horizon,Redragon,2,0,1643857200.0,True
Redragon,SWS,2,1,1643771400.0,True
SWS,Redragon,2,1,1642392000.0,True
Black Dragons fe,MIBR fe,2,0,1651456800.0,True
Liberty fe,Black Dragons fe,2,0,1647821100.0,True
Liberty fe,Cruzeiro fe,2,0,1643590800.0,True
Liberty fe,MIBR fe,2,0,1642382400.0,True
ALTERNATE aTTaX,EC Brugge,2,0,1651615200.0,True
EC Brugge,ex-Project Eversio,2,1,1651010400.0,True
EC Brugge,ex-Project Eversio,2,0,1651354500.0,True
EC Brugge,LowLandLions,2,0,1651343400.0,True
